code,name,score,rating,action,reasons,close,risk
000933.SH,800医药,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],8062.8484,"{'stop_loss': np.float64(7861.33), 'take_profit': np.float64(8264.37), 'take_profit_2': np.float64(8465.89), 'atr': np.float64(134.35)}"
000934.SH,800金地,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],5781.5352,"{'stop_loss': np.float64(5689.09), 'take_profit': np.float64(5873.98), 'take_profit_2': np.float64(5966.42), 'atr': np.float64(61.63)}"
000989.SH,全指可选,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],5259.6389,"{'stop_loss': np.float64(5158.41), 'take_profit': np.float64(5360.87), 'take_profit_2': np.float64(5462.1), 'atr': np.float64(67.49)}"
000991.SH,全指医药,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],8675.7317,"{'stop_loss': np.float64(8455.73), 'take_profit': np.float64(8895.73), 'take_profit_2': np.float64(9115.74), 'atr': np.float64(146.67)}"
000992.SH,金融地产,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],5541.2417,"{'stop_loss': np.float64(5453.4), 'take_profit': np.float64(5629.08), 'take_profit_2': np.float64(5716.92), 'atr': np.float64(58.56)}"
931845.SH,生猪产业,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],1242.383,"{'stop_loss': np.float64(1268.68), 'take_profit': np.float64(nan), 'take_profit_2': np.float64(nan), 'atr': np.float64(nan)}"
399275.SZ,创医药,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],2490.8683,"{'stop_loss': np.float64(2420.41), 'take_profit': np.float64(2561.33), 'take_profit_2': np.float64(2631.79), 'atr': np.float64(46.97)}"
399321.SZ,国证红利,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],7566.6816,"{'stop_loss': np.float64(7464.95), 'take_profit': np.float64(7668.42), 'take_profit_2': np.float64(7770.15), 'atr': np.float64(67.82)}"
399437.SZ,证券龙头,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],6049.6937,"{'stop_loss': np.float64(5888.37), 'take_profit': np.float64(6211.02), 'take_profit_2': np.float64(6372.34), 'atr': np.float64(107.55)}"
399971.SZ,中证传媒,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],1474.1602,"{'stop_loss': np.float64(1417.86), 'take_profit': np.float64(1530.46), 'take_profit_2': np.float64(1586.76), 'atr': np.float64(37.53)}"
399967.SZ,中证军工,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],14068.0657,"{'stop_loss': np.float64(13594.39), 'take_profit': np.float64(14541.74), 'take_profit_2': np.float64(15015.41), 'atr': np.float64(315.78)}"
399975.SZ,证券公司,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],755.2708,"{'stop_loss': np.float64(735.48), 'take_profit': np.float64(775.06), 'take_profit_2': np.float64(794.85), 'atr': np.float64(13.19)}"
399987.SZ,中证酒,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],4548.6049,"{'stop_loss': np.float64(4438.92), 'take_profit': np.float64(4658.29), 'take_profit_2': np.float64(4767.97), 'atr': np.float64(73.12)}"
399989.SZ,中证医疗,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],6744.4991,"{'stop_loss': np.float64(6557.44), 'take_profit': np.float64(6931.56), 'take_profit_2': np.float64(7118.62), 'atr': np.float64(124.71)}"
399997.SZ,中证白酒,-50,★★★ 观望,趋势向下,['位于60日线下方，不做多'],7719.8575,"{'stop_loss': np.float64(7514.01), 'take_profit': np.float64(7925.7), 'take_profit_2': np.float64(8131.54), 'atr': np.float64(137.23)}"
